dev-flo, dev.music-flo.io., _c17782c49639c46d587899e6138ffb3c.dev.music-flo.io., CNAME, _5dea42cd8d83ea9d1daa044724cb0e26.nhqijqilxf.acm-validations.aws., true
dev-flo, dev.music-flo.io., _a38d7d31ac73b1998e6a967cb5a8faab.api.dev.music-flo.io., CNAME, _7272cec45f696a281c5d8a42794f5ed6.nhqijqilxf.acm-validations.aws., true
dev-flo, dev.music-flo.io., backend.dev.music-flo.io., A, 10.180.194.69, true
dev-flo, dev.music-flo.io., redis.cache.dev.music-flo.io., CNAME, redis-cache-dev-music-flo-io.pe83rx.clustercfg.apn2.cache.amazonaws.com, true
dev-flo, dev.music-flo.io., dooly-argocd.dev.music-flo.io., CNAME, internal-k8s-doolyhel-doolyhel-9d0176e1b3-215000993.ap-northeast-2.elb.amazonaws.com, true
dev-flo, dev.music-flo.io., emr.dev.music-flo.io., A, 10.180.196.188, true
dev-flo, dev.music-flo.io., flo-reco.dev.music-flo.io., A, 10.180.194.242, true
dev-flo, dev.music-flo.io., flo-text-to-sql.dev.music-flo.io., A, 10.180.195.149, true
dev-flo, dev.music-flo.io., kafka.dev.music-flo.io., A, 10.180.195.120, true
dev-flo, dev.music-flo.io., nfs.dev.music-flo.io., CNAME, fs-aa1198ca.efs.ap-northeast-2.amazonaws.com, true
dev-flo, dev.music-flo.io., emr.poc.dev.music-flo.io., A, 10.180.196.78, true
dev-flo, dev.music-flo.io., trino-masked.dev.music-flo.io., A, 10.180.196.98, true
dev-flo, dev.music-flo.io., trino.dev.music-flo.io., A, 10.180.196.131, true
dev-flo, qa01.music-flo.com., _423fdf4023557e3a077ffd813500ec3e.qa01.music-flo.com., CNAME, _6b055e5403c3978d4ed4bf2e0cac1cb0.wmmlzlpmyg.acm-validations.aws., true
dev-flo, qa01.music-flo.com., _7ec32acb8f770a5a6a0f124dd5e50210.qa01.music-flo.com., CNAME, _6074244dbf88bbbfa3e10b9ae140b0b9.bdvkfdzfbg.acm-validations.aws., true
dev-flo, qa01.music-flo.com., _8339727fda38782d0b75bc6a081c51ce.api.qa01.music-flo.com., CNAME, _35aac64ce95e344c34068981cf039ca7.bdvkfdzfbg.acm-validations.aws., true
dev-flo, qa01.music-flo.com., mcp.cache.qa01.music-flo.com., CNAME, mcp-cache-qa01-music-flo-com.pe83rx.ng.0001.apn2.cache.amazonaws.com, true
dev-flo, qa01.music-flo.com., pri-mcp-redis.cache.qa01.music-flo.com., A, 10.190.119.62, true
dev-flo, qa01.music-flo.com., redis.cache.qa01.music-flo.com., CNAME, redis-cache-qa01-music-flo-com.pe83rx.clustercfg.apn2.cache.amazonaws.com, true
dev-flo, qa01.music-flo.com., _ffe6ad30d3af05a63970d2e772f6c0e4.cmsflo.qa01.music-flo.com., CNAME, _2cdeaa26b37816fd4eaf359807d2a3d9.xlfgrmvvlj.acm-validations.aws., true
dev-flo, qa01.music-flo.com., kafka-01.qa01.music-flo.com., A, 10.190.57.13, true
dev-flo, qa01.music-flo.com., kafka-02.qa01.music-flo.com., A, 10.190.71.152, true
dev-flo, qa01.music-flo.com., kafka-03.qa01.music-flo.com., A, 10.190.126.184, true
dev-flo, qa01.music-flo.com., mcp-nfs-data.qa01.music-flo.com., CNAME, fs-0508e4724727af17c.efs.ap-northeast-2.amazonaws.com, true
dev-flo, qa01.music-flo.com., mongos-01.qa01.music-flo.com., A, 10.190.253.68, true
dev-flo, qa01.music-flo.com., mongos-02.qa01.music-flo.com., A, 10.190.254.217, true
dev-flo, qa01.music-flo.com., mongos-03.qa01.music-flo.com., A, 10.190.255.167, true
dev-flo, qa01.music-flo.com., nfs.qa01.music-flo.com., CNAME, fs-0984b7f5afe709c76.efs.ap-northeast-2.amazonaws.com, true
dev-flo, qa01.music-flo.com., pri-mcp-zk.qa01.music-flo.com., A, 10.190.103.161, true
dev-flo, qa01.music-flo.com., purchase-batch-nfs.qa01.music-flo.com., CNAME, fs-05acec6ec2c9e8b8d.efs.ap-northeast-2.amazonaws.com, true
dev-flo, dev.music-flo.com., _2f95972d64499259bbf00a60ea9626d3.dev.music-flo.com., CNAME, _16c2bff3048050b9fcc97a2c97c8a017.btsqtkxpyp.acm-validations.aws., true
dev-flo, dev.music-flo.com., _d10d77f4a4b174fa36be123b209846c0.dev.music-flo.com., CNAME, _c08744ca0df7fe1383f9df5ca42206e7.mntkzmhvxg.acm-validations.aws., true
dev-flo, dev.music-flo.com., _4c7206e55d76cf0f811af4de00e4f04a.api.dev.music-flo.com., CNAME, _8a110aa7eb0f95450b961d2a6e6a29b8.bdvkfdzfbg.acm-validations.aws., true
dev-flo, dev.music-flo.com., mcp.cache.dev.music-flo.com., CNAME, mcp-cache-dev-music-flo-com.pe83rx.ng.0001.apn2.cache.amazonaws.com, true
dev-flo, dev.music-flo.com., pri-mcp-redis.cache.dev.music-flo.com., A, 10.180.194.189, true
dev-flo, dev.music-flo.com., redis.cache.dev.music-flo.com., CNAME, redis-cache-dev-music-flo-com.pe83rx.clustercfg.apn2.cache.amazonaws.com, true
dev-flo, dev.music-flo.com., _31c130495a4e13ae27040107fa7117dc.cmsflo.dev.music-flo.com., CNAME, _41e499967f979ce06a5df34a2aacd05f.xlfgrmvvlj.acm-validations.aws., true
dev-flo, dev.music-flo.com., kafka.dev.music-flo.com., A, 10.180.195.120, true
dev-flo, dev.music-flo.com., mcp-nfs-data.dev.music-flo.com., CNAME, fs-06b5891e50ce2ec48.efs.ap-northeast-2.amazonaws.com, true
dev-flo, dev.music-flo.com., nfs.dev.music-flo.com., CNAME, fs-aa1198ca.efs.ap-northeast-2.amazonaws.com, true
dev-flo, dev.music-flo.com., pri-mcp-zk.dev.music-flo.com., A, 10.180.194.88, true
dev-flo, dev99.music-flo.com., _3fa7a50b01ea14cf1275d9ac2311b324.dev99.music-flo.com., CNAME, _1422bb503eef97e4a45c461cef8fdd88.xlfgrmvvlj.acm-validations.aws., true
dev-flo, dev99.music-flo.com., _b6ce899348c81324a8bbffc98ee4426f.dev99.music-flo.com., CNAME, _66927d6cab54c0c1f3900d9b403e9290.xlfgrmvvlj.acm-validations.aws., true
dev-flo, qa99.music-flo.com., _27dd90eed68668df82526305d717ac57.qa99.music-flo.com., CNAME, _bad55b62f252e5c699479100f9fc264c.xlfgrmvvlj.acm-validations.aws., true
dev-flo, qa99.music-flo.com., _a1d84da147f65fa2278480bd1f332170.qa99.music-flo.com., CNAME, _5a6adbbe61897f76ac16d1d8cb0ff61f.xlfgrmvvlj.acm-validations.aws., true
dev-flo, dev.flo-car.link., _2faa4f3c25bc0b820f6d78e4829a5180.dev.flo-car.link., CNAME, _7995e5af9904ee5e861550d7fe83bdf8.xlfgrmvvlj.acm-validations.aws., true
dev-flo, dev.flo-car.link., _664857b2aa82fc8090279d4d80c36737.dev.flo-car.link., CNAME, _57dafd9337eb014029eabd03a3fa9c48.xlfgrmvvlj.acm-validations.aws., true
dev-flo, qa01.create-flo.com., _36bb0ae7c492c81dc1972d2ae07512b2.qa01.create-flo.com., CNAME, _f8268986c8cce4b381b1889bd999e7a4.hnyhpvdqhv.acm-validations.aws., true
dev-flo, qa01.create-flo.com., _d820e8acbdef8df0e17f9fd3663df9c6.qa01.create-flo.com., CNAME, _079b11064a5c86563863c6e4b639bd48.bpxxncpwjz.acm-validations.aws., true
dev-flo, dev.flomuz.io., _e9e0babb34e292e22f8dbc419729fee3.dev.flomuz.io., CNAME, _4a143dd8dd6525593cb854b17bbce4a9.bxmgrlxjqk.acm-validations.aws., true
dev-flo, dev.flomuz.io., _edc388667ad39737c0f608a2db03f41a.dev.flomuz.io., CNAME, _136ced1a740b33f57d7dfbb49305599d.btsqtkxpyp.acm-validations.aws., true
dev-flo, qa01.flomuz.io., _3044ea16472de67ddafe5698d0f9c4ea.qa01.flomuz.io., CNAME, _003828aacc786322a722765493ff566e.mybbdzzyvz.acm-validations.aws., true
dev-flo, qa01.flomuz.io., _d2216bd6a24399327869b2de102e092d.qa01.flomuz.io., CNAME, _e57f6e1172fc0e13884183b53585482a.hnyhpvdqhv.acm-validations.aws., true
dev-flo, qa.music-flo.com., _6662c4db12c517b7ca0b5d1935c5002f.qa.music-flo.com., CNAME, _5f955afba7afa42a7dc808643d0d6cc1.tjztrygkxr.acm-validations.aws., true
dev-flo, qa.music-flo.com., _7c08845bdb7e3d02596142b3e0325d8e.qa.music-flo.com., CNAME, _9b87f5ed79cc06f0cc4084e309c1d820.yssrbzrnkq.acm-validations.aws., true
dev-flo, qa.music-flo.com., pri-mcp-redis.cache.qa.music-flo.com., A, 10.190.119.62, true
dev-flo, qa.music-flo.com., redis.cache.qa.music-flo.com., CNAME, redis-cache-qa01-music-flo-com.pe83rx.clustercfg.apn2.cache.amazonaws.com, true
dev-flo, qa.music-flo.com., _62b4ba05825b72d0997315cf2646ca57.cmsflo.qa.music-flo.com., CNAME, _bf1c3b42d66cbf2392d7cd06a8156ad5.xlfgrmvvlj.acm-validations.aws., true
dev-flo, qa.music-flo.com., kafka-01.qa.music-flo.com., A, 10.190.57.13, true
dev-flo, qa.music-flo.com., kafka-02.qa.music-flo.com., A, 10.190.71.152, true
dev-flo, qa.music-flo.com., kafka-03.qa.music-flo.com., A, 10.190.126.184, true
dev-flo, qa.music-flo.com., mongos-01.qa.music-flo.com., A, 10.190.253.68, true
dev-flo, qa.music-flo.com., mongos-02.qa.music-flo.com., A, 10.190.254.217, true
dev-flo, qa.music-flo.com., mongos-03.qa.music-flo.com., A, 10.190.255.167, true
dev-flo, qa.music-flo.com., nfs.qa.music-flo.com., CNAME, fs-0984b7f5afe709c76.efs.ap-northeast-2.amazonaws.com, true
dev-flo, qa.music-flo.com., pri-mcp-zk.qa.music-flo.com., A, 10.190.103.161, true
dev-flo, qa.music-flo.com., reco-hook.qa.music-flo.com., A, 10.190.37.213, true
dev-flo, qa.music-flo.com., zk-01.qa.music-flo.com., A, 10.190.32.69, true
dev-flo, qa.music-flo.com., zk-02.qa.music-flo.com., A, 10.190.89.79, true
dev-flo, qa.music-flo.com., zk-03.qa.music-flo.com., A, 10.190.125.22, true
dev-flo, dev.flodb.link., dev-mgnd-mongo-up-01.dev.flodb.link., A, 10.180.198.34, true
dev-flo, dev.flodb.link., dev-mgnd-mongo-up-02.dev.flodb.link., A, 10.180.198.188, true
dev-flo, dev.flodb.link., dreamus-my.dev.flodb.link., CNAME, dev-dreamus-up.cluster-cvzu2tknt0xt.ap-northeast-2.rds.amazonaws.com, true
dev-flo, dev.flodb.link., ro.dreamus-my.dev.flodb.link., CNAME, dev-dreamus-up.cluster-ro-cvzu2tknt0xt.ap-northeast-2.rds.amazonaws.com, true
dev-flo, dev.flodb.link., flo-mgo.dev.flodb.link., A, 10.180.198.98, true
dev-flo, dev.flodb.link., mcp-my.dev.flodb.link., CNAME, dev-flo-up.cluster-cvzu2tknt0xt.ap-northeast-2.rds.amazonaws.com, true
dev-flo, dev.flodb.link., ro.mcp-my.dev.flodb.link., CNAME, dev-flo-up.cluster-ro-cvzu2tknt0xt.ap-northeast-2.rds.amazonaws.com, true
dev-flo, dev.flodb.link., mmate-my.dev.flodb.link., CNAME, dev-flo-up.cluster-cvzu2tknt0xt.ap-northeast-2.rds.amazonaws.com, true
dev-flo, dev.flodb.link., ro.mmate-my.dev.flodb.link., CNAME, dev-flo-up.cluster-ro-cvzu2tknt0xt.ap-northeast-2.rds.amazonaws.com, true
dev-flo, dev.flodb.link., mmatearc-my.dev.flodb.link., CNAME, dev-flo-up.cluster-cvzu2tknt0xt.ap-northeast-2.rds.amazonaws.com, true
dev-flo, dev.flodb.link., ro.mmatearc-my.dev.flodb.link., CNAME, dev-flo-up.cluster-ro-cvzu2tknt0xt.ap-northeast-2.rds.amazonaws.com, true
dev-flo, dev.flodb.link., mmatelog-my.dev.flodb.link., CNAME, dev-flo-up.cluster-cvzu2tknt0xt.ap-northeast-2.rds.amazonaws.com, true
dev-flo, dev.flodb.link., ro.mmatelog-my.dev.flodb.link., CNAME, dev-flo-up.cluster-ro-cvzu2tknt0xt.ap-northeast-2.rds.amazonaws.com, true
dev-flo, dev.flodb.link., nearline-mgo.dev.flodb.link., A, 10.180.198.114, true
dev-flo, dev.flodb.link., ota-my.dev.flodb.link., CNAME, dev-flo-up.cluster-cvzu2tknt0xt.ap-northeast-2.rds.amazonaws.com, true
dev-flo, dev.flodb.link., ro.ota-my.dev.flodb.link., CNAME, dev-flo-up.cluster-ro-cvzu2tknt0xt.ap-northeast-2.rds.amazonaws.com, true
dev-flo, dev.flodb.link., support-mgo.dev.flodb.link., A, 10.180.198.114, true
dev-flo, qa.flomuz.io., _e1b6c42f380e4a2d41da9c09669515e0.qa.flomuz.io., CNAME, _8e93d5e051d64dfe98ffbe8d3fef1561.yssrbzrnkq.acm-validations.aws., true
dev-flo, cloud-dba.dev.flodb.link., _8a55f252cbc5d011e2645ba6c0a2f28b.cloud-dba.dev.flodb.link., CNAME, _8fa6eaf12ae9d38ae3404af9ff6fd2d0.xlfgrmvvlj.acm-validations.aws., true
dev-flo, cloud-dba.dev.flodb.link., not-exists-endpoint.cloud-dba.dev.flodb.link., CNAME, not-exists-endpoint.cluster-cvzu2tknt0xt.ap-northeast-2.rds.amazonaws.com, true
dev-flo, cloud-dba.dev.flodb.link., qa-dba-mongod-04.cloud-dba.dev.flodb.link., A, 10.190.253.72, true
dev-flo, cloud-dba.dev.flodb.link., qa-dba-mongod-05.cloud-dba.dev.flodb.link., A, 10.190.254.49, true
dev-flo, cloud-dba.dev.flodb.link., qa-dba-mongod-06.cloud-dba.dev.flodb.link., A, 10.190.255.101, true
dev-flo, cloud-dba.dev.flodb.link., qa-dba-up-mongod-04.cloud-dba.dev.flodb.link., A, 10.190.253.96, true
dev-flo, cloud-dba.dev.flodb.link., qa-dba-up-mongod-05.cloud-dba.dev.flodb.link., A, 10.190.254.95, true
dev-flo, cloud-dba.dev.flodb.link., qa-dba-up-mongod-06.cloud-dba.dev.flodb.link., A, 10.190.255.184, true
dev-flo, cloud-dba.dev.flodb.link., test-mongod-mgnd-01.cloud-dba.dev.flodb.link., A, 10.180.45.117, true
dev-flo, cloud-dba.dev.flodb.link., test-mongod-mgnd-02.cloud-dba.dev.flodb.link., A, 10.180.45.138, true
dev-flo, cloud-dba.dev.flodb.link., test-mongod-mgnd-03.cloud-dba.dev.flodb.link., A, 10.180.46.72, true
dev-flo, qa.create-flo.com., _3b43e9bfe8c68c6ee1bb916afa131efc.qa.create-flo.com., CNAME, _1fadea65637411beda787f0835dbdb9e.tjztrygkxr.acm-validations.aws., true
dev-flo, qa.create-flo.com., _799bfb7d073cccc2af19d1c3b3c92f5a.qa.create-flo.com., CNAME, _3a6e55f43208f783ec8b3a87bac4ffdb.tjztrygkxr.acm-validations.aws., true
dev-flo, mcp-eks.dev.music-flo.com., _85914b33943ae9181f3c69390de40e40.mcp-eks.dev.music-flo.com., CNAME, _dc7f40c0e779a9bdf2898037f01a0ef3.mhbtsbpdnt.acm-validations.aws., true
dev-flo, qa01.flodb.link., flo-mgo-01.qa01.flodb.link., A, 10.190.253.90, true
dev-flo, qa01.flodb.link., flo-mgo-02.qa01.flodb.link., A, 10.190.254.63, true
dev-flo, qa01.flodb.link., flo-mgo-03.qa01.flodb.link., A, 10.190.255.190, true
dev-flo, qa01.flodb.link., flo-mgo-test.qa01.flodb.link., A, 10.190.253.68, true
dev-flo, qa01.flodb.link., mcp-my.qa01.flodb.link., CNAME, qa01-flo-up.cluster-cvzu2tknt0xt.ap-northeast-2.rds.amazonaws.com, true
dev-flo, qa01.flodb.link., ro.mcp-my.qa01.flodb.link., CNAME, qa01-flo-up.cluster-ro-cvzu2tknt0xt.ap-northeast-2.rds.amazonaws.com, true
dev-flo, qa01.flodb.link., mmate-my.qa01.flodb.link., CNAME, qa01-flo-up.cluster-cvzu2tknt0xt.ap-northeast-2.rds.amazonaws.com, true
dev-flo, qa01.flodb.link., ro.mmate-my.qa01.flodb.link., CNAME, qa01-flo-up.cluster-ro-cvzu2tknt0xt.ap-northeast-2.rds.amazonaws.com, true
dev-flo, qa01.flodb.link., mmatearc-my.qa01.flodb.link., CNAME, qa01-flo-up.cluster-cvzu2tknt0xt.ap-northeast-2.rds.amazonaws.com, true
dev-flo, qa01.flodb.link., ro.mmatearc-my.qa01.flodb.link., CNAME, qa01-flo-up.cluster-ro-cvzu2tknt0xt.ap-northeast-2.rds.amazonaws.com, true
dev-flo, qa01.flodb.link., mmatelog-my.qa01.flodb.link., CNAME, qa01-flo-up.cluster-cvzu2tknt0xt.ap-northeast-2.rds.amazonaws.com, true
dev-flo, qa01.flodb.link., ro.mmatelog-my.qa01.flodb.link., CNAME, qa01-flo-up.cluster-ro-cvzu2tknt0xt.ap-northeast-2.rds.amazonaws.com, true
dev-flo, qa01.flodb.link., nearline-mgo.qa01.flodb.link., A, 10.190.253.27, true
dev-flo, qa01.flodb.link., qa01-mgnd-mongo-up-01.qa01.flodb.link., A, 10.190.253.214, true
dev-flo, qa01.flodb.link., qa01-mgnd-mongo-up-02.qa01.flodb.link., A, 10.190.255.73, true
dev-flo, qa01.flodb.link., service-dreamus-my.qa01.flodb.link., CNAME, qa01-service-dreamus-up.cluster-cvzu2tknt0xt.ap-northeast-2.rds.amazonaws.com, true
dev-flo, qa01.flodb.link., ro.service-dreamus-my.qa01.flodb.link., CNAME, qa01-service-dreamus-up.cluster-ro-cvzu2tknt0xt.ap-northeast-2.rds.amazonaws.com, true
dev-flo, qa01.flodb.link., support-mgo.qa01.flodb.link., A, 10.190.253.27, true
dev-flo, qa01.music-flo.io., _ef9927dde7bc0c3284f2e1c07a4393c3.qa01.music-flo.io., CNAME, _e01d1ca6976357753f6a9784c5e9a2b8.fyfbssdptv.acm-validations.aws., true
dev-flo, qa01.music-flo.io., _ba52b9b69c7eb2ca72846264d3ae55ba.api.qa01.music-flo.io., CNAME, _580a00e36c3d76ac737f2567dce67e91.hsmgrxbjqd.acm-validations.aws., true
dev-flo, qa01.music-flo.io., backend.qa01.music-flo.io., A, 10.190.112.6, true
dev-flo, qa01.music-flo.io., flo-search.qa01.music-flo.io., CNAME, vpc-flo-search-dev-qa-4hnabhdytpwlzo3ytbzi6hr6iq.ap-northeast-2.es.amazonaws.com, true
dev-flo, qa.flo-car.link., _71b3f9bb69ec11de7bc5b71c83c4232b.qa.flo-car.link., CNAME, _512d5a2726d0a26a51cacb63d94122e8.tfmgdnztqk.acm-validations.aws., true
dev-flo, qa.flo-car.link., _febb92ff198f946be9277d1e2ffc3b28.qa.flo-car.link., CNAME, _d93415e09466f47863f658070e0f119e.xlfgrmvvlj.acm-validations.aws., true
